Fecha,Consumo,dia_semana,mes,año,semana_año,es_fin_semana,es_festivo,dia_antes_festivo,dia_despues_festivo,semana_navidad,covid_cuarentena,es_mantenimiento,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,lag_31,lag_32,lag_33,lag_34,lag_35,lag_36,lag_37,lag_38,lag_39,lag_40,lag_41,lag_42,lag_43,lag_44,lag_45,lag_46,lag_47,lag_48,lag_49,lag_50,lag_51,lag_52,lag_53,lag_54,lag_55,lag_56,lag_57,lag_58,lag_59,lag_60,lag_63,lag_70,media_roll_7,std_roll_7,mediana_roll_7,media_roll_14,std_roll_14,mediana_roll_14,media_roll_28,std_roll_28,mediana_roll_28,media_roll_60,std_roll_60,mediana_roll_60,dow_sin,dow_cos,mes_sin,mes_cos
2018-03-12,65208.0164,0,3,2018,11,False,False,False,False,False,False,False,49624.6791,65563.6826,81077.3525,79236.6864,82789.6865,78400.6884,90995.6885,45092.6765,67008.3493,76391.3514,77014.6869,77766.3537,78914.0196,76780.0177,47795.013399999996,67246.6835,77348.3522,75731.3527,80446.6868,77143.0188,78873.686,50163.6784,65299.6837,66982.6854,77311.6861,67294.3503,45947.0144,79761.0197,49478.0107,70909.6852,81048.0212,80509.0214,81282.68669999999,81612.6886,80197.3515,49716.3454,68005.682,77425.35310000001,79075.3519,80773.0196,78701.353,81359.6864,50178.346,67206.3503,78668.354,78252.187,77577.519,74327.01945,80153.353,81825.3521,67815.01655,78486.85495000001,78936.0208,75991.6848,72589.0185,79559.3548,49661.3447,67745.3493,80520.0193,80890.3544,48202.0148,35079.0064,75384.06628571429,13631.508362865132,79236.6864,73332.56565,12610.941447821186,77390.5203,70857.17251785715,12454.429404173288,76897.3523,72407.97643583333,11317.240960876898,77386.85265,0.0,1.0,1.0,6.123233995736766e-17
2018-03-13,76699.3521,1,3,2018,11,False,False,False,False,False,False,False,65208.0164,49624.6791,65563.6826,81077.3525,79236.6864,82789.6865,78400.6884,90995.6885,45092.6765,67008.3493,76391.3514,77014.6869,77766.3537,78914.0196,76780.0177,47795.013399999996,67246.6835,77348.3522,75731.3527,80446.6868,77143.0188,78873.686,50163.6784,65299.6837,66982.6854,77311.6861,67294.3503,45947.0144,79761.0197,49478.0107,70909.6852,81048.0212,80509.0214,81282.68669999999,81612.6886,80197.3515,49716.3454,68005.682,77425.35310000001,79075.3519,80773.0196,78701.353,81359.6864,50178.346,67206.3503,78668.354,78252.187,77577.519,74327.01945,80153.353,81825.3521,67815.01655,78486.85495000001,78936.0208,75991.6848,72589.0185,79559.3548,49661.3447,67745.3493,80520.0193,63605.6831,69230.3502,71700.11312857144,12108.790116742864,78400.6884,72505.99412857143,12746.11332241799,77390.5203,70337.4224,12372.485099002564,76585.68455,72146.60413583332,11299.097305225745,77330.01915000001,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17
2018-03-14,76578.352,2,3,2018,11,False,False,False,False,False,False,False,76699.3521,65208.0164,49624.6791,65563.6826,81077.3525,79236.6864,82789.6865,78400.6884,90995.6885,45092.6765,67008.3493,76391.3514,77014.6869,77766.3537,78914.0196,76780.0177,47795.013399999996,67246.6835,77348.3522,75731.3527,80446.6868,77143.0188,78873.686,50163.6784,65299.6837,66982.6854,77311.6861,67294.3503,45947.0144,79761.0197,49478.0107,70909.6852,81048.0212,80509.0214,81282.68669999999,81612.6886,80197.3515,49716.3454,68005.682,77425.35310000001,79075.3519,80773.0196,78701.353,81359.6864,50178.346,67206.3503,78668.354,78252.187,77577.519,74327.01945,80153.353,81825.3521,67815.01655,78486.85495000001,78936.0208,75991.6848,72589.0185,79559.3548,49661.3447,67745.3493,69707.0175,70323.0178,71457.06508571429,11968.138002041027,76699.3521,72347.80359285715,12674.005450159635,76857.0195,71435.720175,11458.335775685264,76739.6849,72082.92634916668,11261.81228133938,77227.35245,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17
2018-03-15,74301.3568,3,3,2018,11,False,False,False,False,False,False,False,76578.352,76699.3521,65208.0164,49624.6791,65563.6826,81077.3525,79236.6864,82789.6865,78400.6884,90995.6885,45092.6765,67008.3493,76391.3514,77014.6869,77766.3537,78914.0196,76780.0177,47795.013399999996,67246.6835,77348.3522,75731.3527,80446.6868,77143.0188,78873.686,50163.6784,65299.6837,66982.6854,77311.6861,67294.3503,45947.0144,79761.0197,49478.0107,70909.6852,81048.0212,80509.0214,81282.68669999999,81612.6886,80197.3515,49716.3454,68005.682,77425.35310000001,79075.3519,80773.0196,78701.353,81359.6864,50178.346,67206.3503,78668.354,78252.187,77577.519,74327.01945,80153.353,81825.3521,67815.01655,78486.85495000001,78936.0208,75991.6848,72589.0185,79559.3548,49661.3447,80890.3544,69131.3509,70569.73158571428,11193.046277136702,76578.352,72262.94632857143,12638.863836309758,76638.85205,71767.29166428572,11468.379706636799,76739.6849,72230.14306083335,11261.882950052674,77227.35245,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17
2018-03-16,77047.6865,4,3,2018,11,False,False,False,False,False,False,False,74301.3568,76578.352,76699.3521,65208.0164,49624.6791,65563.6826,81077.3525,79236.6864,82789.6865,78400.6884,90995.6885,45092.6765,67008.3493,76391.3514,77014.6869,77766.3537,78914.0196,76780.0177,47795.013399999996,67246.6835,77348.3522,75731.3527,80446.6868,77143.0188,78873.686,50163.6784,65299.6837,66982.6854,77311.6861,67294.3503,45947.0144,79761.0197,49478.0107,70909.6852,81048.0212,80509.0214,81282.68669999999,81612.6886,80197.3515,49716.3454,68005.682,77425.35310000001,79075.3519,80773.0196,78701.353,81359.6864,50178.346,67206.3503,78668.354,78252.187,77577.519,74327.01945,80153.353,81825.3521,67815.01655,78486.85495000001,78936.0208,75991.6848,72589.0185,79559.3548,80520.0193,70741.0171,69864.6845,10700.73977978661,74301.3568,72069.13703571427,12581.065254366067,76484.8517,71659.77990357143,11428.519109910725,76638.85205,72640.80992916666,10867.297293580838,77227.35245,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
2018-03-17,67675.6825,5,3,2018,11,True,False,False,False,False,False,False,77047.6865,74301.3568,76578.352,76699.3521,65208.0164,49624.6791,65563.6826,81077.3525,79236.6864,82789.6865,78400.6884,90995.6885,45092.6765,67008.3493,76391.3514,77014.6869,77766.3537,78914.0196,76780.0177,47795.013399999996,67246.6835,77348.3522,75731.3527,80446.6868,77143.0188,78873.686,50163.6784,65299.6837,66982.6854,77311.6861,67294.3503,45947.0144,79761.0197,49478.0107,70909.6852,81048.0212,80509.0214,81282.68669999999,81612.6886,80197.3515,49716.3454,68005.682,77425.35310000001,79075.3519,80773.0196,78701.353,81359.6864,50178.346,67206.3503,78668.354,78252.187,77577.519,74327.01945,80153.353,81825.3521,67815.01655,78486.85495000001,78936.0208,75991.6848,72589.0185,67745.3493,68104.6828,69289.01792857143,10087.837900592669,74301.3568,72116.01811428572,12599.619305024602,76638.85205,72019.24422857142,11434.2478414646,76739.6849,72598.94879083334,10845.009814128267,77095.35265,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
2018-03-18,79031.353,6,3,2018,11,True,False,True,False,False,False,False,67675.6825,77047.6865,74301.3568,76578.352,76699.3521,65208.0164,49624.6791,65563.6826,81077.3525,79236.6864,82789.6865,78400.6884,90995.6885,45092.6765,67008.3493,76391.3514,77014.6869,77766.3537,78914.0196,76780.0177,47795.013399999996,67246.6835,77348.3522,75731.3527,80446.6868,77143.0188,78873.686,50163.6784,65299.6837,66982.6854,77311.6861,67294.3503,45947.0144,79761.0197,49478.0107,70909.6852,81048.0212,80509.0214,81282.68669999999,81612.6886,80197.3515,49716.3454,68005.682,77425.35310000001,79075.3519,80773.0196,78701.353,81359.6864,50178.346,67206.3503,78668.354,78252.187,77577.519,74327.01945,80153.353,81825.3521,67815.01655,78486.85495000001,78936.0208,75991.6848,49661.3447,49808.0125,69590.7322,9988.946794962078,74301.3568,72163.68477142857,12580.056794290149,76638.85205,72104.10132857143,11391.268674387196,76739.6849,72517.05985749999,10863.620006240544,77095.35265,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
2018-03-19,48730.0109,0,3,2018,12,False,True,False,False,False,False,False,79031.353,67675.6825,77047.6865,74301.3568,76578.352,76699.3521,65208.0164,49624.6791,65563.6826,81077.3525,79236.6864,82789.6865,78400.6884,90995.6885,45092.6765,67008.3493,76391.3514,77014.6869,77766.3537,78914.0196,76780.0177,47795.013399999996,67246.6835,77348.3522,75731.3527,80446.6868,77143.0188,78873.686,50163.6784,65299.6837,66982.6854,77311.6861,67294.3503,45947.0144,79761.0197,49478.0107,70909.6852,81048.0212,80509.0214,81282.68669999999,81612.6886,80197.3515,49716.3454,68005.682,77425.35310000001,79075.3519,80773.0196,78701.353,81359.6864,50178.346,67206.3503,78668.354,78252.187,77577.519,74327.01945,80153.353,81825.3521,67815.01655,78486.85495000001,78936.0208,79559.3548,48202.0148,73791.68561428571,5253.892620554143,76578.352,74587.87595,9959.160121371993,76873.5193,73135.08970714286,10611.645375843393,76897.3523,72567.72099416665,10887.160173815599,77227.35245,0.0,1.0,1.0,6.123233995736766e-17
2018-03-20,76776.35250000001,1,3,2018,12,False,False,False,True,False,False,False,48730.0109,79031.353,67675.6825,77047.6865,74301.3568,76578.352,76699.3521,65208.0164,49624.6791,65563.6826,81077.3525,79236.6864,82789.6865,78400.6884,90995.6885,45092.6765,67008.3493,76391.3514,77014.6869,77766.3537,78914.0196,76780.0177,47795.013399999996,67246.6835,77348.3522,75731.3527,80446.6868,77143.0188,78873.686,50163.6784,65299.6837,66982.6854,77311.6861,67294.3503,45947.0144,79761.0197,49478.0107,70909.6852,81048.0212,80509.0214,81282.68669999999,81612.6886,80197.3515,49716.3454,68005.682,77425.35310000001,79075.3519,80773.0196,78701.353,81359.6864,50178.346,67206.3503,78668.354,78252.187,77577.519,74327.01945,80153.353,81825.3521,67815.01655,78486.85495000001,72589.0185,63605.6831,71437.68482857142,10655.509141755945,76578.352,71568.89897857144,10958.723532884267,76638.85205,72058.52988214286,11499.781623227262,76739.6849,72064.28749583333,11279.018773624446,77095.35265,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17
2018-03-21,76824.0179,2,3,2018,12,False,False,False,False,False,False,False,76776.35250000001,48730.0109,79031.353,67675.6825,77047.6865,74301.3568,76578.352,76699.3521,65208.0164,49624.6791,65563.6826,81077.3525,79236.6864,82789.6865,78400.6884,90995.6885,45092.6765,67008.3493,76391.3514,77014.6869,77766.3537,78914.0196,76780.0177,47795.013399999996,67246.6835,77348.3522,75731.3527,80446.6868,77143.0188,78873.686,50163.6784,65299.6837,66982.6854,77311.6861,67294.3503,45947.0144,79761.0197,49478.0107,70909.6852,81048.0212,80509.0214,81282.68669999999,81612.6886,80197.3515,49716.3454,68005.682,77425.35310000001,79075.3519,80773.0196,78701.353,81359.6864,50178.346,67206.3503,78668.354,78252.187,77577.519,74327.01945,80153.353,81825.3521,67815.01655,75991.6848,69707.0175,71448.68488571429,10661.884084924524,76578.352,71452.87498571428,10889.207227817986,76638.85205,72045.43465714286,11493.984594901951,76737.8523,72035.77912166667,11264.66278017076,77031.18669999999,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17
